[01,01], {00001}, NAN
[01,02], {00009}, Cat
[01,03], {00008}, Dog
[01,04], {00001}, Dog
[01,04], {00001}, Dog
[01,05], {00001}, Dog
[01,06], {00001}, Dog
[01,07], {00001}, Dog
[01,08], {00001}, Dog
[01,09], {00001}, Dog
[01,10], {00001}, Dog
[01,11], {00001}, Dog

[02,02], {00002}, Cat
[02,03], {00002}, Cat
[02,04], {00002}, Cat
[02,05], {00002}, Cat
[02,06], {00002}, Cat
[02,07], {00002}, Cat
[02,08], {00002}, Cat
[02,09], {00002}, Cat
[02,10], {00002}, Cat

[03,02], {00003}, Cat
[03,03], {00003}, Cat
[03,04], {00003}, Cat
[03,05], {00003}, Cat
[03,06], {00003}, Cat
[03,07], {00003}, Cat
[03,08], {00003}, Cat
[03,09], {00003}, Cat

[04,02], {00004}, Cat
[04,03], {00004}, Cat
[04,04], {00004}, Cat
[04,05], {00004}, Cat
[04,06], {00004}, Cat
[04,07], {00004}, Cat
[04,08], {00004}, Cat

[05,02], {00005}, Cat
[05,03], {00005}, Cat
[05,04], {00005}, Cat
[05,05], {00005}, Cat
[05,06], {00005}, Cat
[05,07], {00005}, Cat

[06,02], {00006}, Cat
[06,03], {00006}, Cat
[06,04], {00006}, Cat
[06,05], {00006}, Cat
[06,06], {00006}, Cat

[07,02], {00007}, Cat
[07,03], {00007}, Cat
[07,04], {00007}, Cat
[07,05], {00007}, Cat

[08,02], {00008}, Cat
[08,03], {00008}, Cat
[08,04], {00008}, Cat

[09,02], {00009}, Cat
[09,03], {00009}, Cat

[01,13], {00005}, Cat
